220,7349,12706,8434,410,8961,7383,387,4057,96,381,28992,7524,116998,108,8352,215,27259,33068,23011,6873,2614,2816,221,169,321,2,29,15,148,24,16,7,11,2,0
19067,382,275,17,42446,12,28,322,5515,91,9,4302,81,53,16812,9,2,13861,90,70,15871,17,14,8,23051,17,2,23,7,8,6,16,1,5,1,3
32380,355,274,449,8653,121,32,23394,7578,15,42,10852,163,92,70758,150,21,9429,238,115,6275,46,59,8,921,251,6,82,26,28,24,13,11,9,12,6
11394,67,148,56,33515,30,15,192,21976,162,7,65,74,200,10243,81,5,6168,102,40,8473,226,194,29,677,29,0,20,32,4,8,6,1,1,1,8
8666,117,1533,3998,70,1548,429,41,1659,44,75,6675,3664,14202,29,1494,1103,1646,4260,1099,2016,6506,59,11957,489,39,1,6,3,16,10,5,2,5,30,0
14359,70,203,142,10308,68,6,10,24130,29,38,5502,299,32,51039,71,1,26904,35,124,5245,4,13,8,48,0,0,26,18,10,6,9,2,2,3,11
9081,37,57,94,10146,10,14,490,4387,30,15,1829,308,103,9605,146,5,14159,56,93,4246,16,82,25,286,4,2,5,12,3,6,4,4,4,20,0
33141,28,52,69,37837,11,10,11,30377,27,28,43,118,50,17874,47,12,159,48,10125,4563,9,19,11,1028,22,0,15,38,11,7,5,2,2,4,2
264,229,779,1805,86,1620,282,46,1245,31,106,1177,5156,131118,270,298,28,2175,39718,23802,56,414,54,31,20,70,1,5,2,1,2,0,0,1,1,1
6839,11,17,16,2815,15,20,80,761,9,30,15,10,37,7030,48,0,302,27,17,6988,42,7,0,12,5,2,13,10,1,1,1,0,0,0,0
3255,38,49,29,3585,57,57,772,5892,37,38,338,478,4721,2018,37,22,828,144,35,1036,38,120,19,294,8,1,7,5,4,0,5,0,0,4,1
22331,46,49,55,17188,24,84,24,19748,15,10,406,40,37,16494,123,0,44,68,198,2011,102,12,15,765,7,0,3,6,2,1,1,0,1,0,3
44108,145,1181,166,18355,32,84,101,16008,9,71,182,170,96,24941,199,1,671,195,202,9440,68,58,34,1296,21,2,29,75,20,4,7,4,2,5,3
13514,298,201,88,18758,145,203,244,3580,31,49,63,63,19,23479,52,2,61,120,94,3961,27,70,19,477,24,1,11,53,4,33,5,4,7,3,10
343,2326,3599,259,42,114374,139,434,414,29,299,3221,277,48306,58,6435,1,27038,844,5968,5402,4919,2333,456,46,59,0,3,6,0,0,0,1,0,0,0
34024,80,208,97,15544,58,55,4186,5079,29,32,13800,111,118,20527,128,1,37281,842,197,7553,56,11,8,253,2,8,13,13,6,7,12,4,2,3,2
128,9,9,3,6,4,6,5,94,2,0,0,2,5,19,9,1,8,4,4,4481,0,2,3,0,0,0,2,0,1,1,0,0,0,0,0
13844,118,59,50,65711,44,51,635,7868,13,12,17,80,113,14806,54,0,31,85,99,6218,25,41,36,256,19,2,9,44,16,6,3,0,1,5,10
14283,61,12880,147,35035,51,51,18671,17835,26,1683,2198,2841,798,23438,13041,1405,488,231,37368,20265,283,2337,8,3868,88,0,12,10,4,1,4,3,1,1,0
8882,56,79,53,15990,35,43,311715,9600,15,27,54,54,75,81731,26,3,17155,456,68,3272,727,6790,14,1522,20,4,17,10,3,1,3,1,4,1,2
42,64,102,62,121,92,92,64,34,11,887,629,206,19613,7,5599,1,712,8997,564,22,49,29,10,13,68,0,23,25,0,1,0,3,1,2,1
5919,2,29,8,6442,55,10,71,10209,12,2,125,19,39,3570,26,2,77,141,25,217,8,10,3,70,3,1,15,3,1,6,1,20,1,25,0
50461,48,91,14,22333,19,30,31678,46782,36,30,33,62,21,17158,42,4,3697,48,58,156,14,287,10,190,9,1,4,3,3,0,5,0,1,0,1
99,59,15,8,116,7,1,5,323,1,2,14,33,31,5,24,1,12,11,22,64,64,1,104,38,4,2,15,5,1,2,2,2,1,3,0
1124,2,7,8,8088,1,8,6,223,4,14,27,9,21,4966,13,0,13,14,10,577,44,11,0,2,3,0,1,1,0,0,1,0,0,0,0
506,13,2,18,905,4,5,276,349,1,3,10,4,10,545,3,0,33,11,5,179,14,30,13,26,5,0,7,2,2,0,0,0,0,13,0
1,1,6,0,0,3,0,0,1,0,29,11,27,0,0,4,0,0,12,2,0,0,1,8,0,2,2273,223,143,155,163,227,188,150,185,128
21,8,10,7,9,14,3,10,8,2,42,3,55,20,1,11,3,5,330,12,3,1,2,3,4,0,4995,2895,3072,2489,2448,2853,2842,3091,8307,30207
28,10,29,37,4,22,6,13,5,1,53,8,64,272,1,17,1,2,14,4,0,2,5,8,2,2,19671,1572,1429,1312,1458,1672,1153,1032,1103,970
9,10,19,127,8,13,12,10,10,6,58,3,57,6,5,13,0,224,14,5,1,0,1,1,0,0,1818,1028,773,660,607,810,636,572,581,555
11,9,9,3,6,11,4,3,11,0,59,5,66,9,0,17,1,1,14,172,0,2,1,18,1,0,1371,583,529,562,585,835,500,523,603,467
10,8,24,10,6,17,5,4,16,2,56,4,88,7,1,4,0,1,7,155,0,1,2,2,0,0,1569,666,585,502,435,450,356,349,343,292
14,8,7,3,10,10,3,3,17,1,67,4,50,6,0,9,1,1,12,125,0,1,0,2,0,1,870,390,401,335,587,642,382,285,282,254
10,3,6,4,4,5,7,3,9,0,38,2,44,3,0,10,0,0,26,142,0,0,3,1,0,0,608,342,287,310,368,545,360,318,226,228
12,3,8,0,5,4,2,4,7,0,51,4,36,4,3,12,0,1,8,110,0,1,3,7,1,0,630,260,226,248,233,278,276,218,260,246
20,1,8,4,6,6,1,1,8,0,30,1,36,7,0,7,0,2,9,100,0,1,1,2,0,1,536,264,228,273,194,287,266,236,232,270
